@relation 'AT: exemplo4_weka-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R25-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.355pleasure-0.355dominance-0.329entropy_g-0.326entropy_b-0.32entropy_r... numeric
@attribute 0.362mean-0.33solidity-0.329perimeter+0.297entropy_r-0.291avg_size... numeric
@attribute -0.464sat_m-0.439tamura_contrast-0.427black-0.29saturation-0.25arousal... numeric
@attribute -0.507arousal-0.418saturation+0.315white+0.276pink+0.239tamura_contrast... numeric
@attribute 0.327dominance+0.319pleasure-0.31black+0.305hue_m-0.277total_area... numeric
@attribute 0.624hue_m+0.584val_m-0.176white+0.164gray-0.144green... numeric
@attribute 0.497orange-0.38blue+0.376brown+0.335yellow-0.331green... numeric
@attribute -0.649purple+0.416green+0.359count+0.277brown-0.207yellow... numeric
@attribute 0.694year-0.38count-0.33total_area-0.312red-0.201yellow... numeric
@attribute '-0.56yellow-0.362green+0.35 brown+0.323white-0.3gray...' numeric
@attribute '0.77 red-0.337yellow-0.234blue+0.231green-0.228orange...' numeric
@attribute '0.697year+0.41 count+0.323total_area+0.211red+0.203purple...' numeric
@attribute -0.616circ-0.392solidity+0.309perimeter+0.284avg_size+0.238total_area... numeric
@attribute 0.657blue-0.464green-0.448purple+0.267red+0.151gray... numeric
@attribute -0.55pink+0.404gray+0.396orange-0.281count+0.244perc_area... numeric
@attribute 0.589orange-0.455yellow+0.358pink-0.356brown-0.25white... numeric
@attribute 0.454total_area+0.413brown+0.368pink+0.302mean-0.235perimeter... numeric
@attribute -0.486gray-0.425count+0.328white+0.314total_area+0.261mean... numeric
@attribute -0.629perc_area+0.382avg_size+0.329mean+0.309gray-0.184count... numeric
@attribute -0.414blue-0.352brown+0.332saturation+0.329arousal-0.307green... numeric

@data
1.793096,0.847229,-0.538572,-0.053181,-0.446479,2.68492,0.104007,0.782605,0.426085,0.018254,-0.321006,1.838583,-0.623762,0.051673,-0.928608,0.346379,-0.735891,0.279111,-0.228326,-0.175644
0.009619,0.845998,-0.272917,0.862535,-0.484515,3.064987,-0.470018,-0.007911,0.58057,-0.723374,0.342726,1.301144,0.40405,0.384943,0.566478,-0.067938,-0.317373,0.524574,-0.165278,-0.111893
0.884909,1.281889,-0.311469,0.552193,-0.367037,2.605524,0.028103,0.490185,0.44722,-0.044686,-0.040758,1.645786,0.086505,0.17816,-0.454145,0.156059,-0.594363,0.227328,-0.333927,-0.339063
-0.421651,1.121208,-0.770129,0.638816,0.169927,3.173607,-0.514875,0.123859,0.620693,-0.480286,0.196664,1.348445,0.302216,0.34505,0.076276,0.100326,-0.557686,0.349707,0.135571,0.243696
-0.641887,-1.104478,0.381092,1.49204,-0.805924,3.275819,-0.652358,0.02598,0.276606,-1.137543,0.504584,1.432459,0.577002,0.563226,1.44789,-0.012457,0.530605,-0.101183,-0.257356,0.176214
0.329861,1.172513,-0.610889,0.761825,-0.196112,2.887844,-0.085863,0.222963,0.75379,-0.198127,0.193802,1.303023,0.23687,0.222736,-0.200868,-0.056718,-0.528471,0.401267,-0.089723,-0.3169
1.18084,0.725614,-0.3412,0.477958,-0.09501,2.576192,0.069772,-0.066752,1.175362,-0.251977,0.191331,0.956499,0.044906,0.10471,-0.387498,-0.07978,-0.627156,0.892152,-0.0047,-0.376167
-2.409281,1.110771,-1.157794,1.569342,1.559713,2.200469,0.57609,0.43821,1.258481,0.617029,0.327072,0.758065,0.321536,0.022719,-0.963461,0.469322,1.172666,-0.306193,0.463423,0.156983
-0.077707,0.448258,-0.351922,1.578211,0.226967,2.824128,-0.018718,0.12112,0.900664,-0.274431,0.318708,1.092883,0.188392,0.194645,-0.405284,0.312674,0.391714,0.094023,0.143485,-0.139111
0.084062,0.711913,-0.386935,0.412256,-0.451377,3.205882,-0.421484,0.302638,0.178335,-0.464354,0.122015,1.795116,0.41175,0.349894,0.275414,0.212573,-0.123692,0.566392,-0.663262,0.453959
-1.720197,1.094597,-0.328681,1.679828,0.080376,3.200435,-0.788412,0.414629,0.150487,-0.830175,0.332664,1.531283,0.33661,0.558156,0.742066,0.255982,0.178142,-0.76709,0.432573,0.009268
-0.39771,1.029096,-0.711172,1.148509,-0.083294,2.935745,-0.444603,0.176932,0.527411,-0.44219,0.175713,1.434889,0.232515,0.296743,-0.105045,0.220118,-0.373126,0.278402,-0.028727,0.122224
0.291438,1.089678,-0.82149,0.404786,-0.004568,3.766326,0.115762,0.855198,0.453995,0.087817,0.002357,1.745431,-0.200338,0.193754,-0.448363,-0.044544,-0.448965,0.052137,-0.297286,-0.393779
-2.024475,0.890989,-0.313407,1.596779,0.039315,3.112918,-1.138836,-0.211379,-0.084488,-0.985631,0.721074,1.606559,2.11379,0.793611,2.09998,-0.164504,0.132956,-0.359208,0.075174,0.637708
1.730432,-1.694533,-1.766187,-1.100939,2.274887,1.272247,-1.56325,1.616519,-0.259776,-1.263133,1.009947,-0.102713,0.686554,-1.471906,-0.559041,0.092245,0.207027,0.667674,-0.269619,-0.321074
